257,2,90,429,9,0
258,2,90,474,9,0
259,2,90,469,9,0
260,2,90,489,9,0
261,2,91,484,9,0
262,2,91,479,9,0
263,2,91,474,9,0
264,2,91,469,9,0
265,2,91,489,9,0
266,2,91,484,9,0
267,2,91,479,9,0
268,2,91,474,9,0
269,2,91,469,9,0
270,2,91,464,9,0
271,2,91,459,9,0
272,2,91,454,9,0
273,2,91,449,9,0
274,2,91,444,9,0
275,2,91,439,9,0
276,2,91,434,9,0
277,2,91,429,9,0
278,2,91,424,9,0
279,2,91,444,9,0
280,2,91,439,9,0
281,2,91,434,9,0
282,2,91,429,9,0
283,2,91,424,9,0
284,2,91,419,9,0
285,2,90,414,9,0
286,2,90,434,9,0
287,2,90,429,9,0
288,2,90,424,9,0
289,2,89,419,9,0
290,2,89,439,9,0
291,2,89,434,9,0
292,2,88,429,9,0
293,2,88,449,9,0
294,2,87,444,9,0
295,2,86,464,9,0
296,2,86,484,9,0
297,2,86,479,9,0
298,2,86,474,9,0
299,2,85,469,9,0
300,2,85,489,9,0
301,2,85,484,9,0
302,2,84,479,9,0
303,2,84,499,9,0
304,2,84,494,9,0
305,2,84,514,9,0
306,2,84,509,9,0
307,2,84,504,9,0
308,2,83,499,9,0
309,2,83,544,9,0
310,2,84,539,9,0
311,2,83,534,9,0
312,2,83,554,9,0
313,2,83,549,9,0
314,2,83,544,9,0
315,2,82,539,9,0
316,2,82,559,9,0
317,2,82,554,9,0
318,2,82,549,9,0
319,2,82,544,9,0
320,2,82,539,9,0
321,2,82,534,9,0
322,2,82,529,9,0
323,2,82,524,9,0
324,2,82,519,9,0
325,2,82,514,9,0
326,2,82,509,9,0
327,2,82,504,9,0
328,2,82,499,9,0
329,2,82,494,9,0
330,2,82,489,9,0
331,2,82,484,9,0
332,2,83,504,9,0
333,2,84,499,9,0
334,2,85,494,9,0
335,2,86,489,9,0
336,2,86,484,9,0
337,2,86,504,9,0
338,2,87,524,9,0
339,2,88,519,9,0
340,2,88,514,9,0
341,2,89,534,9,0
342,2,90,529,9,0
343,2,91,524,9,0
344,2,91,519,9,0
345,2,92,539,9,0
346,2,93,534,9,0
347,2,94,529,9,0
348,2,95,524,9,0
349,2,96,519,9,0
350,2,97,514,9,0
351,2,98,509,9,0
352,2,98,504,9,0
353,2,98,524,9,0
354,2,98,519,9,0
355,2,98,514,9,0
356,2,97,509,9,0
357,2,97,529,9,0
358,2,96,524,9,0
359,2,96,544,9,0
360,2,96,539,9,0
361,2,96,534,9,0
362,2,96,529,9,0
363,2,95,524,9,0
364,2,95,544,9,0
365,2,95,539,9,0
366,2,95,534,9,0
367,2,95,529,9,0
368,2,95,524,9,0
369,2,95,519,9,0
370,2,95,514,9,0
371,2,95,509,9,0
372,2,95,504,9,0
373,2,95,499,9,0
374,2,95,494,9,0
375,2,95,489,9,0
376,2,95,484,9,0
377,2,95,479,9,0
378,2,94,474,9,0
379,2,94,494,9,0
380,2,94,489,9,0
381,2,94,509,9,0
382,2,94,504,9,0
383,2,94,499,9,0
384,2,93,519,9,0
385,2,93,539,9,0
386,2,93,559,9,0
387,2,93,554,9,0
388,2,93,574,9,0
389,2,93,594,9,0
390,2,93,589,9,0
391,2,93,584,9,0
392,2,93,579,9,0
393,2,93,574,9,0
394,2,93,569,9,0
395,2,93,564,9,0
396,2,93,559,9,0
397,2,93,579,9,0
398,2,93,574,9,0
399,2,93,569,9,0
400,2,93,564,9,0
401,3,94,559,9,0
402,4,94,367,9,0
403,5,94,270,9,1
404,6,92,211,9,1
405,7,92,188,9,1
406,8,92,156,9,1
407,9,91,131,9,1
408,11,90,117,9,1
409,13,87,95,9,1
410,15,86,91,9,1
411,17,84,77,9,1
412,19,83,72,9,1
413,20,84,67,9,1
414,18,82,73,8,2
415,17,79,80,8,1
416,14,78,112,8,1
417,14,75,106,8,1
418,14,76,125,8,2
419,15,75,111,8,2
420,16,75,105,8,2
421,17,74,97,8,2
422,18,71,92,8,2
423,19,70,93,8,2
424,19,69,94,8,2
425,19,71,97,8,1
426,21,68,87,8,1
427,24,67,86,8,1
428,26,68,76,8,1
429,26,64,77,8,1
430,26,64,85,8,2
431,30,63,74,8,2
432,33,62,64,8,2
433,32,63,67,8,2
434,31,60,66,8,2
435,26,61,83,8,1
436,25,60,81,8,2
437,24,60,90,8,2
438,25,60,86,8,2
439,26,58,78,8,2
440,26,57,81,8,2
441,23,56,99,8,2
442,25,56,96,8,1
443,29,57,84,8,1
444,34,56,69,8,1
445,39,56,58,8,1
446,42,53,48,8,1
447,43,54,50,8,1
448,39,51,49,8,1
449,36,46,53,8,1
450,30,47,72,8,1
451,33,46,67,8,1
452,39,44,60,8,1
453,46,42,49,8,1
454,50,40,44,8,1
455,52,37,39,8,1
456,50,36,40,8,2
457,41,36,51,8,2
458,40,36,51,8,2
459,40,35,49,10,2
460,40,31,47,10,2
461,35,33,55,10,2
462,33,33,56,10,2
463,29,31,64,10,2
464,28,31,72,10,2
465,28,32,69,10,1
466,32,32,61,10,1
467,35,33,51,10,1
468,33,33,51,10,2
469,27,34,62,10,2
470,25,33,61,10,2
471,26,35,60,10,2
472,24,35,61,10,2
473,22,36,66,10,2
474,21,37,68,10,2
475,22,38,69,10,2
476,24,40,60,10,2
477,26,39,47,10,2
478,28,39,45,10,2
479,25,39,48,10,2
480,24,39,49,10,2
481,23,38,54,10,2
482,22,37,59,12,2
483,25,37,56,12,2
484,27,38,50,12,2
485,29,39,43,12,2
486,28,40,40,12,2
487,26,39,42,12,2
488,25,40,45,12,2
489,26,39,42,12,2
490,28,40,38,12,2
491,31,42,32,12,2
492,30,41,30,12,2
493,29,41,30,12,2
494,25,42,35,12,1
495,23,44,34,12,1
496,20,45,33,12,1
497,13,45,51,12,1
498,12,47,65,12,1
499,12,47,60,12,1
500,11,48,65,12,1
501,10,49,72,12,1
502,8,50,91,12,1
503,8,51,93,12,1
504,8,53,94,12,1
505,7,55,103,12,1
506,7,57,98,12,1
507,7,58,93,12,1
508,7,59,95,12,1
509,7,61,97,12,1
510,7,60,92,12,1
511,7,62,109,12,1
512,6,64,122,12,1
513,6,66,117,12,1
514,6,67,112,12,1
515,6,68,115,12,1
516,6,70,119,12,1
517,6,72,114,12,1
518,6,73,109,12,1
519,6,74,112,12,1
520,6,76,115,12,1
521,5,77,134,12,1
522,5,76,139,12,1
523,5,77,154,12,1
524,5,78,159,12,1
525,5,77,164,12,1
526,5,78,189,12,1
527,5,79,194,12,1
528,5,80,189,12,1
529,5,80,194,12,1
530,5,81,199,12,1
531,5,81,194,12,1
532,5,82,209,12,1
533,5,82,214,12,1
534,5,82,209,12,1
535,5,83,214,12,1
536,5,84,209,12,1
537,5,85,214,12,1
538,5,85,209,12,1
539,5,86,214,12,1
540,5,86,219,12,1
541,5,87,224,12,1
542,5,88,229,12,1
543,4,89,283,12,1
544,4,90,278,12,1
545,4,89,273,12,1
546,4,89,280,12,1
547,4,89,275,12,1
548,4,89,270,12,1
549,4,89,265,12,1
550,4,89,260,12,1
551,4,89,255,12,1
552,4,89,263,12,1
553,3,90,363,13,0
554,3,91,375,13,0
day,number of animals,number of grass,avg energy,length of life,avg children
day,number of animals,number of grass,avg energy,length of life,avg children
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,34,4,86,0,0
3,39,6,74,0,0
4,44,7,59,0,0
5,50,9,49,0,0
6,57,11,38,0,0
7,64,12,28,0,0
8,66,13,22,2,1
48,8,56,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,34,4,86,0,0
3,38,6,74,0,0
4,42,8,61,0,0
5,46,10,50,0,0
6,50,11,41,0,0
7,54,12,33,0,0
8,50,14,31,2,0
9,47,15,30,3,0
10,44,17,30,4,0
43,9,53,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,34,2,95,0,0
2,38,4,78,0,0
3,43,6,65,0,0
4,50,8,52,0,0
5,57,7,40,0,0
6,63,9,33,0,0
7,65,11,25,1,1
50,6,55,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,35,4,86,0,0
3,38,6,72,0,0
4,43,8,61,0,0
5,52,9,49,0,0
6,64,8,36,0,0
7,76,8,27,0,1
8,84,8,20,2,1
9,82,10,17,2,1
10,78,10,13,3,1
58,7,47,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,34,4,86,0,0
3,38,6,74,0,0
4,42,8,61,0,0
5,49,9,50,0,0
6,56,9,39,0,0
7,63,11,31,0,0
8,65,9,24,2,1
9,55,11,27,3,1
10,47,13,29,4,0
11,48,13,25,4,0
12,49,14,22,4,1
13,48,15,19,4,1
14,46,17,15,5,1
15,38,18,13,5,1
16,28,19,15,4,1
17,18,20,22,5,1
18,16,21,23,5,1
19,14,23,28,5,1
20,15,24,21,5,1
21,10,26,33,6,1
22,10,26,25,6,1
23,10,28,30,6,1
24,8,29,33,6,1
25,7,30,40,6,1
33,16,35,3,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,2,95,0,0
2,12,3,81,0,0
3,13,5,73,0,0
4,15,6,63,0,0
5,17,8,53,0,0
6,20,10,41,0,0
7,21,9,30,0,1
8,17,9,34,1,1
9,12,10,48,4,0
15,6,57,0,0
10,10,11,59,4,0
11,9,10,61,4,0
12,8,11,70,4,0
13,8,10,65,4,0
14,9,10,66,4,0
15,10,10,54,4,0
16,12,11,48,4,0
17,14,11,35,4,0
18,15,12,32,4,0
19,13,13,37,5,0
20,12,14,41,5,0
21,10,15,52,5,1
22,12,16,37,5,1
23,14,17,25,5,1
24,13,17,19,5,1
25,5,17,47,6,1
26,3,17,93,6,1
27,2,19,161,7,0
28,2,20,156,7,0
29,2,19,151,7,0
30,2,19,171,7,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,4,90,0,0
3,5,6,85,0,0
5,4,90,0,0
4,5,8,80,0,0
5,5,10,75,0,0
6,5,12,70,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,3,90,0,0
3,5,5,95,0,0
4,5,7,90,0,0
5,4,92,0,0
5,5,9,85,0,0
6,5,11,80,0,0
7,5,13,75,0,0
8,5,14,70,0,0
9,5,15,75,0,0
10,5,14,80,0,0
11,5,16,105,0,0
12,5,17,100,0,0
13,5,16,105,0,0
14,5,16,110,0,0
15,5,17,105,0,0
16,5,17,100,0,0
17,5,18,105,0,0
18,5,18,100,0,0
19,6,18,95,0,0
20,7,17,74,0,0
21,7,17,77,20,0
22,8,17,68,20,0
23,10,17,67,20,1
24,12,17,54,20,1
25,14,17,44,20,1
26,15,13,32,20,1
27,15,11,45,11,1
28,14,11,48,9,1
29,11,10,61,10,1
30,10,11,67,9,1
31,12,12,62,9,1
32,15,11,47,9,1
33,17,11,36,9,1
34,18,10,29,9,1
35,19,10,25,8,1
36,18,11,24,9,1
37,18,11,16,8,1
38,13,11,22,7,1
39,12,10,18,7,2
40,9,11,25,8,2
41,6,10,35,8,2
42,5,10,47,8,2
43,6,11,42,8,2
44,6,11,30,8,2
45,7,12,25,8,2
46,7,10,16,8,2
47,7,8,25,8,2
48,6,9,42,8,2
49,5,10,46,9,2
50,5,10,41,9,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,30,2,95,0,0
2,31,4,90,0,0
3,33,6,82,0,0
31,4,89,0,0
4,35,6,72,0,0
5,37,8,65,0,0
6,41,9,57,0,0
7,47,10,47,0,0
8,55,10,38,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,4,90,0,0
3,5,6,85,0,0
5,4,90,0,0
4,5,8,80,0,0
5,5,9,75,0,0
6,5,10,80,0,0
7,5,10,85,0,0
8,5,11,100,0,0
9,5,13,105,0,0
10,6,15,100,0,0
11,7,14,78,0,0
12,8,15,76,0,0
13,9,15,61,0,0
14,9,11,50,0,0
15,11,12,67,0,0
16,13,13,50,0,1
17,15,9,37,0,1
18,17,8,40,0,1
19,18,8,39,7,1
20,20,8,32,4,1
21,19,7,32,6,1
22,19,8,28,5,1
23,17,9,28,6,2
24,17,10,26,6,1
25,19,8,16,6,1
26,17,9,19,5,2
27,11,8,27,5,2
28,10,9,31,7,1
29,10,8,23,7,1
30,11,8,28,7,1
31,7,9,43,6,2
32,5,10,57,6,2
33,4,11,67,7,0
34,5,11,62,7,0
35,6,11,44,7,0
36,7,11,32,7,0
37,7,11,22,7,0
38,7,12,17,7,0
39,4,11,28,7,0
40,3,12,67,7,1
41,3,14,62,7,1
42,3,16,57,7,1
43,3,17,52,7,1
44,3,17,47,7,1
45,3,17,59,7,1
46,3,18,70,7,1
47,3,18,65,7,1
48,3,18,60,7,1
49,3,18,55,7,1
50,3,18,50,7,1
51,3,18,45,7,1
52,3,18,40,7,1
53,3,18,35,7,1
54,2,17,49,8,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,6,2,95,0,0
2,7,4,74,0,0
3,9,6,58,0,0
7,4,75,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,3,90,0,0
3,5,5,95,0,0
5,3,93,0,0
4,6,7,90,0,0
5,7,7,70,0,0
6,9,8,62,0,0
7,11,8,43,0,0
8,14,8,35,0,1
9,15,8,26,0,1
10,14,8,27,1,1
11,11,10,31,4,1
day,number of animals,number of grass,avg energy,length of life,avg children
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,33,4,86,0,0
3,36,6,76,0,0
33,4,85,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,4,90,0,0
5,3,92,0,0
3,5,5,85,0,0
4,5,7,90,0,0
5,6,9,85,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,1,95,0,0
2,5,3,90,0,0
3,5,5,85,0,0
5,3,90,0,0
4,5,7,80,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,1,95,0,0
2,12,2,81,0,0
11,1,88,0,0
3,13,3,69,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,2,95,0,0
2,12,3,81,0,0
3,13,4,73,0,0
4,14,5,63,0,0
5,15,6,53,0,0
6,16,6,45,0,0
7,16,6,40,0,0
8,13,5,48,2,0
9,11,7,69,4,0
10,11,8,64,4,0
11,13,10,58,4,0
13,5,62,1,0
12,14,11,48,5,0
13,16,12,36,5,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,1,95,0,0
2,10,2,90,0,0
3,10,3,85,0,0
4,11,5,80,0,0
5,12,7,67,0,0
10,3,83,0,0
6,13,7,57,0,0
7,14,8,51,0,0
8,15,8,42,0,0
9,17,10,41,0,0
10,20,11,31,0,0
11,21,9,23,10,0
12,21,8,23,5,0
13,20,10,25,5,0
14,23,11,16,5,1
15,21,10,11,4,1
16,18,10,12,4,1
17,13,10,16,5,1
18,7,9,27,5,1
19,6,10,44,5,1
20,6,10,39,5,1
21,5,10,42,6,1
22,5,10,37,6,1
23,5,10,32,6,1
24,5,12,27,6,1
25,3,14,41,7,0
26,3,15,36,7,0
27,3,16,31,7,0
28,3,17,26,7,0
29,3,18,21,7,0
30,3,19,16,7,0
31,1,20,95,8,0
32,1,21,90,8,0
33,1,22,85,8,0
34,1,23,80,8,0
35,1,23,75,8,0
36,1,23,70,8,0
37,1,23,65,8,0
38,1,23,110,8,0
39,1,23,105,8,0
40,1,23,150,8,0
41,1,23,145,8,0
42,1,23,140,8,0
